Date,WeekNumber,WeeklyHs,WeeklyTp,WeeklyWaveDir,WeeklyWindSpd,WeeklyWindDir
11-Sep,37,4.248,11.263,268.330,10.735,219.290
12-Sep,37,4.248,11.263,268.330,10.735,219.290
13-Sep,37,4.248,11.263,268.330,10.735,219.290
14-Sep,37,4.248,11.263,268.330,10.735,219.290
15-Sep,37,4.248,11.263,268.330,10.735,219.290
16-Sep,37,4.248,11.263,268.330,10.735,219.290
17-Sep,38,4.454,11.116,247.720,11.374,217.471
18-Sep,38,4.454,11.116,247.720,11.374,217.471
19-Sep,38,4.454,11.116,247.720,11.374,217.471
20-Sep,38,4.454,11.116,247.720,11.374,217.471
21-Sep,38,4.454,11.116,247.720,11.374,217.471
22-Sep,38,4.454,11.116,247.720,11.374,217.471
23-Sep,38,4.454,11.116,247.720,11.374,217.471
24-Sep,39,4.624,11.078,264.118,12.330,231.182
25-Sep,39,4.624,11.078,264.118,12.330,231.182
26-Sep,39,4.624,11.078,264.118,12.330,231.182
27-Sep,39,4.624,11.078,264.118,12.330,231.182
28-Sep,39,4.624,11.078,264.118,12.330,231.182
29-Sep,39,4.624,11.078,264.118,12.330,231.182
30-Sep,39,4.624,11.078,264.118,12.330,231.182
1-Oct,40,4.714,11.148,275.777,12.164,255.285
2-Oct,40,4.714,11.148,275.777,12.164,255.285
3-Oct,40,4.714,11.148,275.777,12.164,255.285
4-Oct,40,4.714,11.148,275.777,12.164,255.285
5-Oct,40,4.714,11.148,275.777,12.164,255.285
6-Oct,40,4.714,11.148,275.777,12.164,255.285
7-Oct,40,4.714,11.148,275.777,12.164,255.285
8-Oct,41,5.068,11.854,282.345,12.863,250.499
9-Oct,41,5.068,11.854,282.345,12.863,250.499
10-Oct,41,5.068,11.854,282.345,12.863,250.499
11-Oct,41,5.068,11.854,282.345,12.863,250.499
12-Oct,41,5.068,11.854,282.345,12.863,250.499
13-Oct,41,5.068,11.854,282.345,12.863,250.499
14-Oct,41,5.068,11.854,282.345,12.863,250.499
15-Oct,42,4.582,10.828,271.625,12.726,266.166
16-Oct,42,4.582,10.828,271.625,12.726,266.166
17-Oct,42,4.582,10.828,271.625,12.726,266.166
18-Oct,42,4.582,10.828,271.625,12.726,266.166
19-Oct,42,4.582,10.828,271.625,12.726,266.166
20-Oct,42,4.582,10.828,271.625,12.726,266.166
21-Oct,42,4.582,10.828,271.625,12.726,266.166
22-Oct,43,4.391,10.465,268.478,12.554,261.376
23-Oct,43,4.391,10.465,268.478,12.554,261.376
24-Oct,43,4.391,10.465,268.478,12.554,261.376
25-Oct,43,4.391,10.465,268.478,12.554,261.376
26-Oct,43,4.391,10.465,268.478,12.554,261.376
27-Oct,43,4.391,10.465,268.478,12.554,261.376
28-Oct,43,4.391,10.465,268.478,12.554,261.376
29-Oct,44,3.172,10.022,256.298,9.282,224.227
30-Oct,44,3.172,10.022,256.298,9.282,224.227
31-Oct,44,3.172,10.022,256.298,9.282,224.227
1-Nov,44,3.172,10.022,256.298,9.282,224.227
2-Nov,44,3.172,10.022,256.298,9.282,224.227
3-Nov,44,3.172,10.022,256.298,9.282,224.227
4-Nov,44,3.172,10.022,256.298,9.282,224.227
5-Nov,45,3.519,10.141,267.015,10.371,242.310
6-Nov,45,3.519,10.141,267.015,10.371,242.310
7-Nov,45,3.519,10.141,267.015,10.371,242.310
8-Nov,45,3.519,10.141,267.015,10.371,242.310
9-Nov,45,3.519,10.141,267.015,10.371,242.310
10-Nov,45,3.519,10.141,267.015,10.371,242.310
11-Nov,45,3.519,10.141,267.015,10.371,242.310
12-Nov,46,3.896,10.142,275.698,10.767,245.523
13-Nov,46,3.896,10.142,275.698,10.767,245.523
14-Nov,46,3.896,10.142,275.698,10.767,245.523
15-Nov,46,3.896,10.142,275.698,10.767,245.523
16-Nov,46,3.896,10.142,275.698,10.767,245.523
17-Nov,46,3.896,10.142,275.698,10.767,245.523
18-Nov,46,3.896,10.142,275.698,10.767,245.523
19-Nov,47,3.866,10.372,266.337,11.060,247.456
20-Nov,47,3.866,10.372,266.337,11.060,247.456
21-Nov,47,3.866,10.372,266.337,11.060,247.456
22-Nov,47,3.866,10.372,266.337,11.060,247.456
23-Nov,47,3.866,10.372,266.337,11.060,247.456
24-Nov,47,3.866,10.372,266.337,11.060,247.456
25-Nov,47,3.866,10.372,266.337,11.060,247.456
26-Nov,48,4.049,10.640,278.460,10.550,270.624
27-Nov,48,4.049,10.640,278.460,10.550,270.624
28-Nov,48,4.049,10.640,278.460,10.550,270.624
